AREA_ID,PTINUM,ISO,LOSS,MISOABLE,REGION,REGIONUM,I__REGION,MONITORED_KV,USEOS
ALTE,694,MISO,T,F,CARMEL_E,1,1,69,F
CONS,218,MISO,T,F,CARMEL_E,1,1,100,F
DECO,219,MISO,T,F,CARMEL_E,1,1,100,F
MGE,697,MISO,T,F,CARMEL_E,1,1,69,F
NIPS,217,MISO,T,F,CARMEL_E,1,1,69,F
UPPC,698,MISO,T,F,CARMEL_E,1,1,69,F
WEC,295,MISO,T,F,CARMEL_E,1,1,69,F
MIUP,296,MISO,T,F,CARMEL_E,1,1,69,F
WPS,696,MISO,T,F,CARMEL_E,1,1,69,F
AMIL,357,MISO,T,F,CARMEL_C,2,2,100,F
AMMO,356,MISO,T,F,CARMEL_C,2,2,100,F
BREC,314,MISO,T,F,CARMEL_C,2,2,100,F
HMPL,315,MISO,T,F,CARMEL_C,2,2,100,F
CIN,208,MISO,T,F,CARMEL_C,2,2,100,F
CWLD,333,MISO,T,F,CARMEL_C,2,2,100,F
CWLP,360,MISO,T,F,CARMEL_C,2,2,100,F
HE,207,MISO,T,F,CARMEL_C,2,2,100,F
IPL,216,MISO,T,F,CARMEL_C,2,2,100,F
SIGE,210,MISO,T,F,CARMEL_C,2,2,100,F
SIPC,361,MISO,T,F,CARMEL_C,2,2,100,F
GLH,373,MISO,T,F,CARMEL_C,2,2,100,F
ALTW,627,MISO,T,F,ST_PAUL,3,3,69,F
DPC,680,MISO,T,F,ST_PAUL,3,3,100,F
GRE,615,MISO,T,F,ST_PAUL,3,3,100,F
MDU,661,MISO,T,F,ST_PAUL,3,3,100,F
MEC,635,MISO,T,F,ST_PAUL,3,3,100,F
MHEB,667,MISO,F,F,ST_PAUL,3,3,100,F
MP,608,MISO,T,F,ST_PAUL,3,3,100,F
MPW,633,MISO,T,F,ST_PAUL,3,3,100,F
NSP,600,MISO,T,F,ST_PAUL,3,3,100,F
OTP,620,MISO,T,F,ST_PAUL,3,3,100,F
SMP,613,MISO,T,F,ST_PAUL,3,3,100,F
CLEC,502,MISO,T,F,SOUTH,4,4,100,F
EAI,327,MISO,T,F,SOUTH,4,4,100,F
EES,351,MISO,T,F,SOUTH,4,4,100,F
EMBA,326,MISO,T,F,SOUTH,4,4,100,F
LAFA,503,MISO,T,F,SOUTH,4,4,100,F
LAGT,332,MISO,T,F,SOUTH,4,4,100,F
LEPA,504,MISO,T,F,SOUTH,4,4,100,F
SME,349,MISO,T,F,SOUTH,4,4,100,F
AEP,205, ,F,F,FT_EAST,5,5,100,T
ITCI,220, ,F,F,FT_EAST,5,5,100,T
CE,222, ,F,F,FT_EAST,5,5,100,T
FE,202, ,F,F,FT_EAST,5,5,100,T
ONT,103, ,F,F,FT_EAST,5,5,100,T
ONT_MH,779, ,F,F,FT_EAST,5,5,100,T
AECI,330, ,F,F,FT_CNTR,6,6,100,T
DEOK,212, ,F,F,FT_CNTR,6,6,100,T
LGEE,363, ,F,F,FT_CNTR,6,6,100,T
TVA,347, ,F,F,FT_CNTR,6,6,100,T
KCPL,541, ,F,F,FT_WEST,7,7,100,T
LES,650, ,F,F,FT_WEST,7,7,100,T
MH_ONT,803, ,F,F,FT_WEST,7,7,0,T
MP_ONT,804, ,F,F,FT_WEST,7,7,0,T
MPS,540, ,F,F,FT_WEST,7,7,100,T
NPPD,640, ,F,F,FT_WEST,7,7,100,T
OPPD,645, ,F,F,FT_WEST,7,7,100,T
SPC,672, ,F,F,FT_WEST,7,7,100,T
WR,536, ,F,F,FT_WEST,7,7,100,T
WAUE,652, ,F,F,FT_WEST,7,7,100,T
CSWS,520, ,F,F,FT_SUTH,8,8,100,T
EDE,544, ,F,F,FT_SUTH,8,8,100,T
OKGE,524, ,F,F,FT_SUTH,8,8,100,T
SOCO,346, ,F,F,FT_SUTH,8,8,100,T
SPA,515, ,F,F,FT_SUTH,8,8,100,T
SPRM,546, ,F,F,EXTERNAL,9,9,0,F
SPS,526, ,F,F,FT_SUTH,8,8,100,T
AP,201, ,F,F,EXTERNAL,9,9,0,F
BLKW,993, ,F,F,EXTERNAL,9,9,0,F
CPLE,340, ,F,F,EXTERNAL,9,9,0,F
CPLW,341, ,F,F,EXTERNAL,9,9,0,F
DLCO,215, ,F,F,EXTERNAL,9,9,0,F
DPL,209, ,F,F,EXTERNAL,9,9,0,F
DUK,342, ,F,F,EXTERNAL,9,9,0,F
EDDY,994, ,F,F,EXTERNAL,9,9,0,F
EKPC,320, ,F,F,EXTERNAL,9,9,0,F
ERCOTE,992, ,F,F,EXTERNAL,9,9,0,F
ERCOTN,991, ,F,F,EXTERNAL,9,9,0,F
GRDA,523, ,F,F,EXTERNAL,9,9,0,F
INDN,545, ,F,F,EXTERNAL,9,9,0,F
KACY,542, ,F,F,EXTERNAL,9,9,0,F
LAMAR,999, ,F,F,EXTERNAL,9,9,0,F
NYISO,102, ,F,F,EXTERNAL,9,9,0,F
ONT_MP,780, ,F,F,EXTERNAL,9,9,0,F
PJMC,225, ,F,F,EXTERNAL,9,9,0,F
PSEG,231, ,F,F,EXTERNAL,9,9,0,F
SCEG,343, ,F,F,EXTERNAL,9,9,0,F
SECI,534, ,F,F,EXTERNAL,9,9,0,F
SERU,354, ,F,F,EXTERNAL,9,9,0,F
SPC_WA,995, ,F,F,EXTERNAL,9,9,0,F
WA_SPC,996, ,F,F,EXTERNAL,9,9,0,F
VAP,145, ,F,F,EXTERNAL,9,9,0,F
WFEC,525, ,F,F,EXTERNAL,9,9,0,F
YAD,352, ,F,F,EXTERNAL,9,9,0,F
OVEC,206, ,F,F,EXTERNAL,9,9,0,F
SBMU,358,MISO,F,F,CARMEL_C,2,2,100,F
