Equipment,ID1,ID2,FROM CO,FROM ST,FROM KV,TO CO,TO ST,TO KV,LIMIT_EXISTS,COMMENTS
LN,TLSHK1_TLSHKC6,A,EES,TALSHK,230,LAGN,TALI,230,YES,Per Model issue 322 added by Pavan 02/11/2015
LN,TLSHK2_TLSHKC6,A,EES,TALSHK,230,LAGN,TALI,230,YES,Per Model issue 322 added by Pavan 02/11/2015
LN,WATERF_REACTR1,1,EES,WATERF,230,EES,WATERF,230,YES,EMS email on 12/09/2014
LN,WATERF_REACTR2,1,EES,WATERF,230,EES,WATERF,230,YES,EMS email on 12/09/2014
LN,SIXMILE_LEACH,A,EES,TL_SIXMI,138,EES,LCH,138,YES,EMS email on 12/09/2014
LN,28TIE2,28,WEC,28-ST,138,WEC,28TH13,138,NO,Chris Nguyen email 02/25/2031
ZBR,A1010_LAGN,A,CLEC,4CANEY,138,LAGN,CANY,138,NO,Gerald requested on 2/21/2013
ZBR,A1030_LAGN,A,CLEC,4CANEY,138,LAGN,CANY,138,NO,Gerald requested on 2/21/2013
LN,CHARL_988_ZB,1,TVA,5CHARLES,161,TVA,5CHARLES,161,NO,Gerald requested on 2/21/2013
LN,CHARL_924_ZB,1,TVA,5CHARLES,161,TVA,5CHARLES,161,NO,Gerald requested on 2/21/2013
LN,ACADIA_PB2_T1,A,EES,ACAEES,138,CLEC,ACADIA,138,NO,Gerald requested on 2/21/2013
LN,RICHRD_ACAPB2,,EES,ACAEES,138,CLEC,ACADIA,138,NO,Gerald requested on 2/21/2013
LN,RICHRD_ACAPB1,,EES,ACAEES,138,CLEC,ACADIA,138,NO,Gerald requested on 2/21/2013
LN,ANGIE_XF_M09T2,1,LAGN,ANGI,230,EES,ANGIE,230,NO,Chris Nguyen email 02/25/2018
LN,ANGIE_XF_M09T1,1,LAGN,ANGI,230,EES,ANGIE,230,NO,Chris Nguyen email 02/25/2019
LN,BARKRC_LOAD_T1,A,CLEC,BARKRC,230,LAGN,BRKC,230,NO,Chris Nguyen email 02/25/2017
LN,BOSCO_R1,A,EES,BOSCO,138,EES,BOSCO,138,NO,Chris Nguyen email 02/25/2027
LN,BARKRC_LOAD_T2,1,LAGN,BRKC,230,CLEC,BARKRC,230,NO,Chris Nguyen email 02/25/2016
LN,5073,A,CLEC,COCODR1,138,CLEC,COUGHLN,,NO,Nathaniel Girrins Email 06/14/2013
LN,5075,A,CLEC,COCODR1,138,CLEC,COUGHLN,,NO,Nathaniel Girrins Email 06/14/2013
LN,B4215_BUS_TIE,1,EAI,DELL,500,EAI,DELLAC,500,NO,Chris Nguyen email 02/25/2015
LN,LST_EXXON,A,EES,EXXON,230,EES,LST,230,NO,Chris Nguyen email 02/25/2025
ZBR,FBRNCH_M07T1,A,LAGN,FRBR,230,EES,FR_BRA_E ,,NO,Gerald Rusin Email 06/05/2013
ZBR,FBRNCH_M07T2,A,LAGN,FRBR,230,EES,FR_BRA_E ,,NO,Gerald Rusin Email 06/05/2013
ZBR,HOLTOHOLTO15_2,1,EES,HOLTON,115,LAGN,HOLT_LGN,115,NO,Chris Nguyen email 02/25/2028
ZBR,HOLTOHOLTO15_1,1,EES,HOLTON,115,LAGN,HOLT_LGN,115,NO,Chris Nguyen email 02/25/2029
LN,IOWA_HSKR69_1,1,ALTW,IOWA_JCT,69,ALTW,HSKR,,YES,As per the Transferred facilities list 
LN,IOWA_RRST69_1,1,ALTW,IOWA_JCT,69,ALTW,RRST,,YES,As per the Transferred facilities list 
LN,SC2-CAP,1,AEP,KANAWHAR,345,AEP,KANAWHAR,,YES,As per the Transferred facilities list 
LN,SC3-CAP,1,AEP,KANAWHAR,345,AEP,KANAWHAR,,YES,As per the Transferred facilities list 
LN,6998_NIPS,K,NIPS,KOSCIUSK,69,NIPS,KOSCIUSK,69,NO,Blake requested on 8/13/2012
LN,LEESV3XLPL_LD4,A,CLEC,LEESV7,138,EES,LEESV3,138,NO,Gerald requested on 2/21/2013
LN,MADSNV_MADSNE6,A,CLEC,MADSNV,230,EES,MADSNE,230,NO,Chris Nguyen email 02/25/2030
LN,MIERMIERP13_1,1,AEP,MIER,138,CIN,MIERPSI,,YES,As per the Transferred facilities list 
LN,NBLT_PIKT69_1,1,ALTW,NBLT_TAP,69,ALTW,PIKT,,YES,As per the Transferred facilities list 
LN,NICTPIKT69_1,1,ALTW,NICT,69,ALTW,PIKT,,YES,As per the Transferred facilities list 
LN,GALWAY2_NLR_LD,A,EAI,NL_GAL,115,NLR,GALNLR,115,NO,Chris Nguyen email 02/25/2013
LN,GALWAY1_NLR_LD,A,EAI,NL_GAL,115,NLR,GALNLR,115,NO,Chris Nguyen email 02/25/2014
LN,PERRYVILLE_LD,A,EES,PRVL_LGN,115,EES,BASKIN,115,NO,Chris Nguyen email 02/25/2023
ZBR,NO_1_XFMR,A,NIPS,REYNOLD4 ,345,AEP,REYNOLD2 ,345,NO,Blake Buescher email 01/14/2013
LN,RRSTSHRT69_1,1,ALTW,RRST,69,ALTW,SHRT,,YES,As per the Transferred facilities list 
LN,SCY_MONTAUK,A,EES,SCY,138,EES,SCY,138,NO,Chris Nguyen email 02/25/2026
LN,SHRTHILLS69_1,1,ALTW,SHRT,69,ALTW,HILLS,,YES,As per the Transferred facilities list 
LN,6021,60,MIUP,TWINFALL,69,MIUP,TWP,69,NO,Chris Nguyen email 02/25/2013
LN,VIDALA_LEPA_LD,A,EES,VIDALA,115,LEPA,VIDALIA,115,NO,Chris Nguyen email 02/25/2013
LN,WINFLD_LEPA_LD,A,EES,WIN115,115,LEPA,WINLEP,115,NO,Chris Nguyen email 02/25/2013
LN,6935,T,NIPS,THAYER2,69,NIPS,THAYER2,69,NO,
XF,1_T,1_APR_T_P,FE,AIR_PRO2,138,FE,AIR_PRO2,1,YES,
XF,2_T,2_APR_T_P,FE,AIR_PRO2,138,FE,AIR_PRO2,1,YES,
XF,2,2,EKPC,ARGENTUM,138,EKPC,ARGENTUM,69,YES,
XF,7,7,DPL,DARBY,138,DPL,DARBY,69,YES,
XF,2_T,2_HL_T_P,FE,HAMLTN_C,138,FE,HAMLTN_C,1,YES,
XF,1_T,1_HL_T_P,FE,HAMLTN_C,138,FE,HAMLTN_C,1,YES,
XF,3_T,3_HL_T_P,FE,HAMLTN_C,138,FE,HAMLTN_C,1,YES,
XF,4_T,4_HL_T_P,FE,HAMLTN_C,138,FE,HAMLTN_C,1,YES,
XF,1_T,1_HO_T_P,FE,HORIZON,138,FE,HORIZON,1,YES,
XF,2_T,2_HO_T_P,FE,HORIZON,138,FE,HORIZON,1,YES,
XF,2_T,2_HM_T_P,FE,HUMMEL,138,FE,HUMMEL,1,YES,
XF,3_T,3_HM_T_P,FE,HUMMEL,138,FE,HUMMEL,1,YES,
XF,4_T,4_HM_T_P,FE,HUMMEL,138,FE,HUMMEL,1,YES,
XF,5_T,5_HM_T_P,FE,HUMMEL,138,FE,HUMMEL,1,YES,
XF,TR6,6_LS_T_P,FE,LAKESHO2,138,FE,LAKESHO2,1,YES,
XF,TR7,7_LS_T_P,FE,LAKESHO3,138,FE,LAKESHO3,1,NO,
XF,TR8,8_LS_T_P,FE,LAKESHO4,138,FE,LAKESHO4,1,NO,
XF,101,101,DECO,LINCN,120,DECO,LINCN,24,YES,Requested by Andrew Witmeier on 6/19/2012
XF,102,102,DECO,LINCN,120,DECO,LINCN,24,YES,Requested by Andrew Witmeier on 6/19/2012
XF,103,103,DECO,LINCN,120,DECO,LINCN,24,YES,Requested by Andrew Witmeier on 6/19/2012
XF,XFMR,TR_1_138_161KV,AECI,MARIES,161,AECI,MARIES,138,NO, Requested by RTOPS 12/09/2014
XF,T4,T4,EES,NEC,13,EES,NEC,1,YES,Gerald Rusin Email 05/25/2013
XF,T4BC,T4,EES,NEC,69,EES,NEC,1,YES,Gerald Rusin Email 05/25/2013
XF,T4A,T4,EES,NEC,138,EES,NEC,13,YES,Gerald Rusin Email 05/25/2013
XF,TG1,NED_TG1,ALTE,NELSONDE,138,ALTE,NELSONDE,13.2,YES,
XF,TG2,NED_TG2,ALTE,NELSONDE,138,ALTE,NELSONDE,13.2,YES,
XF,0N5Q,TH_HI_149,AECI,TH_HILL,345,AECI,TH_HILL,161,YES,
XF,0N5Y,TH_HI_1824,AECI,TH_HILL,161,AECI,TH_HILL,69,YES,
XF,0N5Z,TH_HI_1828,AECI,TH_HILL,161,AECI,TH_HILL,69,YES,
XF,P3,P_3,AEP,TAZEWEL2,138,AEP,TAZEWEL2,1,YES,
XF,XT2P,XT2_P,AEP,WALLEN,134.8,AEP,WALLEN,1,YES,
XF,X2P,X2_P,AEP,COLUMBI2,138,AEP,COLUMBI2,1,YES,
XF,P1,P_1,AEP,HALESBRA,138,AEP,HALESBRA,1,YES,
XF,2P,2_P,AEP,EWOOSTER,138,AEP,EWOOSTER,1,YES,
XF,T1P,T1_P,AEP,CANALROA,138,AEP,CANALROA,1,YES,
XF,X1P,X1_P,AEP,INDUSTRI,138,AEP,INDUSTRI,1,YES,
XF,T1_P,T1_P,AEP,ELYNCHBU,138,AEP,ELYNCHBU,1,YES,
XF,T1_P,T1_P,AEP,PEAKSVIE,138,AEP,PEAKSVIE,1,YES,
