Equipment,ID1,ID2,FROM CO,FROM ST,FROM KV,TO CO,TO ST,TO KV,LIMIT_EXISTS,COMMENTS
XF,AT2,AT2_230,EES,HLB,230,EES,HLB,1,YES, Per email from Seth 12/1/2020
XF,1P,1_P,AEP,VANBURE2,138,AEP,VANBURE2,1,YES, Requested by RTOPS 09/16/2016 --- Model issue 1894
XF,3P,3_P,AEP,HILLCRES,138,AEP,HILLCRES,1,YES, Requested by RTOPS 09/16/2016 --- Model issue 1894
#XF,1P,1_P,AEP,NEWCOMER,138,AEP,NEWCOMER,1,YES, Requested by RTOPS 09/02/2016 --- Model issue 1881
XF,1P,1_P,AEP,SCUMBERL,138,AEP,SCUMBERL,1,YES, Requested by RTOPS 09/02/2016 --- Model issue 1881
XF,BK2P,BK2_P,DEOK,08FRFLD1,132,DEOK,08FRFLD1,1,YES, Requested by RTOPS 09/02/2016 --- Model issue 1881
XF,H24S,H24S,ONT,WIDDIFIE,220,ONT,WIDDIFIE,220,YES, Requested by RTOPS 09/02/2016 --- Model issue 1881
XF,W71D,W71D,ONT,WIDDIFIE,220,ONT,WIDDIFIE,220,YES, Requested by RTOPS 09/02/2016 --- Model issue 1881
LN,19901,1,CE,199_KENS,138,CE,938_K4PI,138,YES, Requested by RTOPS 09/02/2016 --- Model issue 1881
LN,19902,1,CE,199_KENS,138,CE,949_KELL,138,YES, Requested by RTOPS 09/02/2016 --- Model issue 1881
LN,93301,1,CE,933_TWIN,345,CE,95_CHEST,345,YES, Requested by RTOPS 11/03/2017 --- Model issue 2661
LN,TLSHK1_TLSHKC6,A,EES,TALSHK,230,LAGN,TALI,230,YES,Per Model issue 322 added by Pavan 02/11/2015
LN,TLSHK2_TLSHKC6,A,EES,TALSHK,230,LAGN,TALI,230,YES,Per Model issue 322 added by Pavan 02/11/2015
LN,WATERF_REACTR1,1,EES,WATERF,230,EES,WATERF,230,YES,EMS email on 12/09/2014
LN,WATERF_REACTR2,1,EES,WATERF,230,EES,WATERF,230,YES,EMS email on 12/09/2014
LN,FRMNT_LEACH,A,EES,TL_FRMNT,138,EES,LCH,138,YES,EMS email on 12/09/2014 Replaced with New Element by Pavan on 02/03/2016
LN,28TIE2,28,WEC,28-ST,138,WEC,28TH13,138,NO,Chris Nguyen email 02/25/2031
ZBR,A1010_LAGN,A,CLEC,4CANEY,138,LAGN,CANY,138,YES,Gerald requested on 2/21/2013
ZBR,A1030_LAGN,A,CLEC,4CANEY,138,LAGN,CANY,138,YES,Gerald requested on 2/21/2013
LN,ACADIA_PB2_T1,A,EES,ACAEES,138,CLEC,ACADIA,138,NO,Gerald requested on 2/21/2013
LN,RICHRD_ACAPB2,,EES,ACAEES,138,CLEC,ACADIA,138,NO,Gerald requested on 2/21/2013
LN,RICHRD_ACAPB1,,EES,ACAEES,138,CLEC,ACADIA,138,NO,Gerald requested on 2/21/2013
LN,ANGIE_XF_M09T2,1,LAGN,ANGI,230,EES,ANGIE,230,YES,Chris Nguyen email 02/25/2018
LN,ANGIE_XF_M09T1,1,LAGN,ANGI,230,EES,ANGIE,230,YES,Chris Nguyen email 02/25/2019
LN,BARKRC_LOAD_T1,A,CLEC,BARKRC,230,LAGN,BRKC,230,YES,Chris Nguyen email 02/25/2017
LN,BOSCO_R1,A,EES,BOSCO,138,EES,BOSCO,138,YES,Chris Nguyen email 02/25/2027
LN,BARKRC_LOAD_T2,1,LAGN,BRKC,230,CLEC,BARKRC,230,YES,Chris Nguyen email 02/25/2016
LN,5073,A,CLEC,COCODR1,138,CLEC,COUGHLN,,NO,Nathaniel Girrins Email 06/14/2013
LN,5075,A,CLEC,COCODR1,138,CLEC,COUGHLN,,NO,Nathaniel Girrins Email 06/14/2013
LN,B4215_BUS_TIE,1,EAI,DELL,500,EAI,DELLAC,500,YES,Chris Nguyen email 02/25/2015
LN,LST_EXXON,A,EES,EXXON,230,EES,LST,230,YES,Chris Nguyen email 02/25/2025
ZBR,FBRNCH_M07T1,A,LAGN,FRBR,230,EES,FR_BRA_E ,,YES,Gerald Rusin Email 06/05/2013
ZBR,FBRNCH_M07T2,A,LAGN,FRBR,230,EES,FR_BRA_E ,,YES,Gerald Rusin Email 06/05/2013
ZBR,HOLTOHOLTO15_2,1,EES,HOLTON,115,LAGN,HOLT_LGN,115,NO,Chris Nguyen email 02/25/2028
ZBR,HOLTOHOLTO15_1,1,EES,HOLTON,115,LAGN,HOLT_LGN,115,NO,Chris Nguyen email 02/25/2029
LN,IOWA_HSKR69_1,1,ALTW,IOWA_JCT,69,ALTW,HSKR,,YES,As per the Transferred facilities list 
LN,IOWA_RRST69_1,1,ALTW,IOWA_JCT,69,ALTW,RRST,,YES,As per the Transferred facilities list 
LN,SC1-CAP_KANAWH,1,AEP,KANAWHAR,345,AEP,KANAWHAR,,YES,As per the Transferred facilities list 
LN,6998_NIPS,K,NIPS,KOSCIUSK,69,NIPS,KOSCIUSK,69,NO,Blake requested on 8/13/2012
LN,LEESV3XLPL_LD4,A,CLEC,LEESV7,138,EES,LEESV3,138,NO,Gerald requested on 2/21/2013
LN,MADSNV_MADSNE6,A,CLEC,MADSNV,230,EES,MADSNE,230,NO,Chris Nguyen email 02/25/2030
LN,MIERMIERP13_1,1,AEP,MIER,138,CIN,MIERPSI,,YES,As per the Transferred facilities list 
LN,NBLT_PIKT69_1,1,ALTW,NBLT_TAP,69,ALTW,PIKT,,YES,As per the Transferred facilities list 
LN,NICTPIKT69_1,1,ALTW,NICT,69,ALTW,PIKT,,YES,As per the Transferred facilities list 
LN,GALWAY2_NLR_LD,A,EAI,NL_GAL,115,NLR,GALNLR,115,YES,Chris Nguyen email 02/25/2013
LN,GALWAY1_NLR_LD,A,EAI,NL_GAL,115,NLR,GALNLR,115,YES,Chris Nguyen email 02/25/2014
LN,PERRYVILLE_LD,A,EES,PRVL_LGN,115,EES,BASKIN,115,YES,Chris Nguyen email 02/25/2023
LN,RRSTSHRT69_1,1,ALTW,RRST,69,ALTW,SHRT,,YES,As per the Transferred facilities list 
LN,SCY_MONTAUK,A,EES,SCY,138,EES,SCY,138,YES,Chris Nguyen email 02/25/2026
LN,SHRTHILLS69_1,1,ALTW,SHRT,69,ALTW,HILLS,,YES,As per the Transferred facilities list 
LN,6021,60,MIUP,TWINFALL,69,MIUP,TWP,69,NO,Chris Nguyen email 02/25/2013
LN,VIDALA_LEPA_LD,A,EES,VIDALA,115,LEPA,VIDALIA,115,YES,Chris Nguyen email 02/25/2013
LN,WINFLD_LEPA_LD,A,EES,WIN115,115,LEPA,WINLEP,115,YES,Chris Nguyen email 02/25/2013
LN,6935,T,NIPS,THAYER2,69,NIPS,THAYER2,69,NO,
XF,7,7,DPL,DARBY,138,DPL,DARBY,69,YES,
XF,2,2,FE,02HUMMEL,138,FE,HUMMEL,1,YES,
XF,3,3,FE,02HUMMEL,138,FE,HUMMEL,1,YES,
