Type,Eqname,Segment,FromCompany,ToCompany,MONGRP
XF,WALLLAKE,FWL_8T3,MEC,MEC,MEC
XF,HAYESAVE,FHA_8T1,MEC,MEC,MEC
XF,FLOYD,FLO_8T1,MEC,MEC,MEC
LN,KNOXVLUCAS69_1,1,MEC   ,ALTW  ,ALTW
LN,BLUEABLERT69_1,1,NSP   ,NSP   ,NSP
LN,BLERTBL_EA69_1,1,NSP   ,ALTW  ,ALTW
LN,RICELHAYWA69_1,1,DPC,ALTW  ,ALTW
LN,CHESTSPRVA69_1,1,DPC,ALTW  ,ALTW
LN,WABACPLAIN69_2,1,DPC,ALTW  ,ALTW
LN,SPRINSPRVA69_1,1,DPC,ALTW  ,ALTW
LN,NORDNDECOR69_1,1,DPC,ALTW  ,ALTW
LN,BRICEBRICE69_1,S,DPC,ALTW  ,ALTW
LN,POSTVPOSTA69_1,1,DPC,ALTW  ,ALTW
LN,JESUPJESUP69_1,1,MEC,ALTW  ,ALTW
LN,ST_OLWASEC69_1,1,NSP,ALTW  ,ALTW
LN,MILFRTRIBO69_1,1,WAUE,ALTW  ,ALTW
LN,PLCNRANG69_1,1,WAUE,ALTW  ,ALTW
LN,PLCNCBJT69_1,1,WAUE,ALTW  ,ALTW
LN,CRESTCREE69_1,1,WAUE,ALTW  ,ALTW
LN,CRESTSLAK69_1,1,WAUE,ALTW  ,ALTW
LN,FRMLNIFIP69_1,1,WAUE,ALTW  ,ALTW
#LN,ORMTTTRIMO69_1,1,GRE,ALTW  ,ALTW
LN,ORMTTSHERB69_1,1,GRE,ALTW  ,ALTW
LN,RADCHUBBR69_1,1,WAUE,ALTW  ,ALTW
LN,RLNDFERNA69_1,1,WAUE,ALTW  ,ALTW
LN,HUTCHCBJC69_1,1,WAUE,ALTW  ,ALTW
LN,WLLMSBLMT69_1,1,WAUE,ALTW  ,ALTW
LN,KOSSTKOSS69_1,1,WAUE,ALTW  ,ALTW
LN,TRAJTRAER69_1,1,WAUE,ALTW  ,ALTW
LN,HRTLNIFIP69_1,1,WAUE,ALTW  ,ALTW
LN,FTMADBP_PI69_1,1,AMIL,ALTW  ,ALTW
LN,ARMENPOE69_1,1,DPC,ALTE,ALTE
LN,MAUSTHLT69_1,1,DPC,ALTE,ALTE
LN,NLT_69LISBOO_1,A,ALTE,DPC,ALTE
LN,TUNELCOUNC69_1,1,DPC,ALTE,ALTE
LN,NEWPRS22069_1,1,NSP,ALTW,ALTW
LN,CHAMPS811_1,1,CIN,NIPS,NIPS
LN,WLBRZENON69_1,1,AMIL,ALTW,NIPS
LN,08WVR17RCH69_1,1,NIPS,CIN,NIPS
LN,MINNLMINNL69_1,1,NSP,ALTW,ALTW
LN,SEARLALBIN69_1,1,NSP,ALTW,ALTW
LN,S145GARDN69_1,1,NSP,ALTW,ALTW
LN,STJ_EMADLI69_1,1,NSP,ALTW,ALTW
LN,WATOWSVEAD69_1,1,NSP,ALTW,ALTW
LN,ST_OLCLRKG69_1,1,NSP,ALTW,ALTW
LN,VANDEADAMS69_1,1,DPC,ALTW,ALTW
LN,ADM_DADM_I69_1,1,DPC,ALTW,ALTW
LN,MTCARSAVAN69_1,1,DPC,ALTW,ALTW
LN,TWINDWINDS69_1,1,DPC,ALTW,ALTW
LN,WINNCLINCO69_1,1,DPC,ALTW,ALTW
LN,CARPECRTP69_1,1,DPC,ALTW,ALTW
LN,NEWSHPOWES69_1,1,MEC,ALTW,ALTW
LN,BUFBIBUFFB69_1,1,MEC,ALTW,ALTW
LN,SUB_5DUPON69_1,1,MEC,ALTW,ALTW
LN,GREENEGRN69_1,1,MEC,ALTW,ALTW
LN,FAIRMONP69_1,1,MEC,ALTW,ALTW
LN,MUSSISETT69_1,1,MPW,ALTW,ALTW
LN,CRESTSLAK69_2,1,WAUE,ALTW,ALTW
LN,RIVERELEND69_1,1,SMP,ALTW,ALTW
LN,CARR_CARRO69_1,1,MEC,MEC,MEC
LN,CARROAUBRN69_1,1,MEC,MEC,MEC
LN,CARROCARRN69_1,1,MEC,MEC,MEC
LN,DPSCARLI69_1,1,MEC,MEC,MEC
LN,DPSINDNO69_1,1,MEC,MEC,MEC
LN,MONROPRARC69_1,1,MEC,MEC,MEC
LN,RDGWAEL_FA69_1,1,MEC,MEC,MEC
LN,WIDABLKHA69_1,1,MEC,MEC,MEC
LN,WIDASTRTR69_1,1,MEC,MEC,MEC
LN,LECNTCLEVE69_1,1,NSP,NSP,NSP
XF,BLKHAWK,BLA_AD,MEC,MEC,MEC
XF,DPS,DAB_8T1,MEC,MEC,MEC
XF,EL_FARM,EFM_BC_WNDNG_1,MEC,MEC,MEC
XF,EL_FARM,EFM_BC_WNDNG_2,MEC,MEC,MEC
XF,EL_FARM,EFM_BC_WNDNG_3,MEC,MEC,MEC
XF,MONONA,MON_AC,MEC,MEC,MEC
XF,SYCAMOR,DAG_8T1,MEC,MEC,MEC
XF,SYCAMOR,DAG_8T2,MEC,MEC,MEC
XF,WASHBRN,WAS_AC_WNDNG_1,MEC,MEC,MEC
XF,WASHBRN,WAS_AC_WNDNG_2,MEC,MEC,MEC
XF,WASHBRN,WAS_AC_WNDNG_3,MEC,MEC,MEC
XF,TIFFIN,TR2,MEC,MEC,MEC
LN,COMMRGALEN69_2,1,DPC,DPC,ALTW
LN,GALEWGALEW69_2,1,DPC,DPC,ALTW
LN,COMMRGALEW69_2,1,DPC,DPC,ALTW
LN,GALENGALEN69_3,1,DPC,DPC,ALTW
LN,SANDRFRENT69_1,1,DPC,DPC,ALTW
LN,PIONEFRENT69_1,1,DPC,DPC,ALTW
LN,EDUBQPIONE69_1,1,DPC,DPC,ALTW
LN,SANDRSANDD69_1,S,DPC,DPC,ALTW
LN,TOYNECARR_69_1,1,WAUE,MEC,MEC
LN,QUARRCHASC69_1,1,MEC,MEC,MEC
LN,BVISTALTMU69_1,1,MEC,MEC,MEC
LN,ALTMUAUREL69_1,1,MEC,MEC,MEC
LN,CHROKAUREL69_1,1,MEC,MEC,MEC
XF,DPS,DAB_8T2,MEC,MEC,MEC
LN,PELSEBEACO69_1,1,MEC,MEC,ALTW
LN,DAL19VALHA69_1,1,DPC,ALTW,ALTW
LN,DEXLTSOUTH69_1,1,DPC,ALTW,ALTW
