Type,Eqname,Segment,FromCompany,ToCompany,MONGRP
LN,KNOXVLUCAS69_1,1,MEC   ,ALTW  ,ALTW
LN,GALENGALEN69_2,1,DPC   ,ALTW  ,ALTW
LN,BLUEABLERT69_1,1,NSP   ,NSP   ,ALTW
LN,BLERTBL_EA69_1,1,NSP   ,ALTW  ,ALTW
LN,RICELHAYWA69_1,1,DPC,ALTW  ,ALTW
LN,CHESTSPRVA69_1,1,DPC,ALTW  ,ALTW
LN,WABACPLAIN69_2,1,DPC,ALTW  ,ALTW
LN,MENOMSANDR69_1,1,DPC,ALTW  ,ALTW
LN,SPRINSPRVA69_1,1,DPC,ALTW  ,ALTW
LN,NORDNDECOR69_1,1,DPC,ALTW  ,ALTW
LN,SANDRGALEN69_1,1,DPC,ALTW  ,ALTW
LN,GALEWGALEW69_1,1,DPC,ALTW  ,ALTW
LN,BRICEBRICE69_1,S,DPC,ALTW  ,ALTW
LN,POSTVPOSTA69_1,1,DPC,ALTW  ,ALTW
LN,JESUPJESUP69_1,1,MEC,ALTW  ,ALTW
LN,ST_OLWASEC69_1,1,NSP,ALTW  ,ALTW
LN,MILFRTRIBO69_1,1,WAUE,ALTW  ,ALTW
LN,PLCNRANG69_1,1,WAUE,ALTW  ,ALTW
LN,PLCNCBJT69_1,1,WAUE,ALTW  ,ALTW
LN,CRESTCREE69_1,1,WAUE,ALTW  ,ALTW
LN,CRESTSLAK69_1,1,WAUE,ALTW  ,ALTW
LN,FRMLNIFIP69_1,1,WAUE,ALTW  ,ALTW
LN,ORMATTRIMO69_1,1,GRE,ALTW  ,ALTW
LN,ORMATSHERB69_1,1,GRE,ALTW  ,ALTW
LN,RADCHUBBR69_1,1,WAUE,ALTW  ,ALTW
LN,RLNDFERNA69_1,1,WAUE,ALTW  ,ALTW
LN,HUTCHCBJC69_1,1,WAUE,ALTW  ,ALTW
LN,WLLMSBLMT69_1,1,WAUE,ALTW  ,ALTW
LN,KOSSTKOSS69_1,1,WAUE,ALTW  ,ALTW
LN,TRAJTRAER69_1,1,WAUE,ALTW  ,ALTW
LN,HRTLNIFIP69_1,1,WAUE,ALTW  ,ALTW
LN,AMOCOLEE69_1,1,AMIL,ALTW  ,ALTW
LN,ARMENPOE69_1,1,DPC,ALTE,ALTE
LN,MAUSTHLT69_1,1,DPC,ALTE,ALTE
LN,NLT_69LISBOO_1,A,ALTE,DPC,ALTE
LN,TUNELCOUNC69_1,1,DPC,ALTE,ALTE
LN,PLATTLNC69_1,1,DPC,ALTE,ALTE
LN,NEW_PNEWPR69_1,1,NSP,ALTW,ALTW
LN,CHAMPS811_1,1,CIN,NIPS,NIPS
LN,WLBRZENON69_1,1,AMIL,ALTW,NIPS
LN,08WVR17RCH69_1,1,NIPS,CIN,NIPS
LN,CJUHGCJUHA69_1,1,GRE,ALTW,ALTW
LN,MINNLMINNL69_1,1,NSP,ALTW,ALTW
LN,GRE_SALBIN69_1,1,NSP,ALTW,ALTW
LN,S145GARDN69_1,1,NSP,ALTW,ALTW
LN,STJ_EMADLI69_1,1,NSP,ALTW,ALTW
LN,WATOWSVEAD69_1,1,NSP,ALTW,ALTW
LN,ST_OLCLRKG69_1,1,NSP,ALTW,ALTW
LN,VANDEADAMS69_1,1,DPC,ALTW,ALTW
LN,ADM_DADM_I69_1,1,DPC,ALTW,ALTW
LN,MTCARSAVAN69_1,1,DPC,ALTW,ALTW
LN,TWINDWINDS69_1,1,DPC,ALTW,ALTW
LN,UTICATRICO69_1,1,DPC,ALTW,ALTW
LN,WINNCLINCO69_1,1,DPC,ALTW,ALTW
LN,CARPECRTP69_1,1,DPC,ALTW,ALTW
LN,NEWSHPOWES69_1,1,MEC,ALTW,ALTW
LN,BUFBIBUFFB69_1,1,MEC,ALTW,ALTW
LN,SUB_5DUPON69_1,1,MEC,ALTW,ALTW
LN,GREENEGRN69_1,1,MEC,ALTW,ALTW
LN,FAIRMONP69_1,1,MEC,ALTW,ALTW
LN,MUSSISETT69_1,1,MPW,ALTW,ALTW
LN,CRESTSLAK69_2,1,WAUE,ALTW,ALTW
LN,RIVERELEND69_1,1,SMP,ALTW,ALTW
LN,CARR_CARRO69_1,1,MEC,MEC,MEC
LN,CARROAUBRN69_1,1,MEC,MEC,MEC
LN,CARROCARRN69_1,1,MEC,MEC,MEC
LN,DMOINCARLI69_1,1,MEC,MEC,MEC
LN,DMOININDNO69_1,1,MEC,MEC,MEC
LN,MONROPRARC69_1,1,MEC,MEC,MEC
LN,RDGWAEL_FA69_1,1,MEC,MEC,MEC
LN,WIDABLKHA69_1,1,MEC,MEC,MEC
LN,WIDASTRTR69_1,1,MEC,MEC,MEC
XF,BLKHAWK,TR1,MEC,MEC,MEC
XF,DMOINES,TR81,MEC,MEC,MEC
XF,EL_FARM,TRY1,MEC,MEC,MEC
XF,EL_FARM,TRY2,MEC,MEC,MEC
XF,EL_FARM,TRY3,MEC,MEC,MEC
XF,MONONA,TR1,MEC,MEC,MEC
XF,SYCAMOR,TR81,MEC,MEC,MEC
XF,SYCAMOR,TR82,MEC,MEC,MEC
XF,WASHBRN,TR11,MEC,MEC,MEC
XF,WASHBRN,TR12,MEC,MEC,MEC
XF,WASHBRN,TR13,MEC,MEC,MEC
XF,TIFFIN,TR2,MEC,MEC,MEC
