From_CO,FromSt,To_CO,To_ST,Line, LN, ND, ND_KV, ZND, ZND_KV
EAI,PLUM17,SME,PLUM_SME,PLUM_SMEPA_GEN,A,G1,24,B,23
ONT,STLAWRE1,NYISO,MOSESNY,SAUND_MOSES1_1,A,1132,220,49,230
ONT,STLAWRE1,NYISO,MOSESNY,SAUND_MOSES__1,A,4324,220,55,230
DUK,1N_GVLE,DUK,GREENVLE,1N_GVLGREENQ_1,A,1,44,1,100
DUK,1ROCKYCR,DUK,1GTFALL2,1ROCKY1GTFAU_1,A,1,2.3,3,44
DUK,BLACKSBG,DUK,1BLACKBG,BLACKS1BLACK_1,A,1,100,1,44
DUK,CAMPOBEL,DUK,1CAMPOBL,CAMPOB1CAMPK_1,A,1,100,1,44
DUK,CEDAR_CK,DUK,GT_FALL1,CEDAR_GT_FAU_1,A,1,6.6,2,100
DUK,CLOVER,DUK,1CLOVER,CLOVER1CLOVK_1,A,1,100,1,44
DUK,FAIRVIEW,DUK,1FAIRVEW,FAIRVI1FAIRK_1,A,1,100,1,44
DUK,GREENWOD,DUK,1GRENWOD,GREENW1GRENK_1,A,1,100,1,44
DUK,GT_FALL1,DUK,1GTFALL2,GT_FAL1GTFAK_1,A,2,100,3,44
DUK,HNDRSNVL,DUK,1HNDRSNV,HNDRSN1HNDRK_1,A,1,100,1,44
DUK,INMAN,DUK,1INMAN,INMAN1INMAK_1,A,1,100,1,44
DUK,WYLIE_HY,DUK,1WYLIE,WYLIE_1WYLIK_1,A,1,100,2,44
DUK,LAURENS,DUK,1LAURENS,LAUREN1LAURK_1,A,1,100,1,44
DUK,6LONGVW,DUK,1RHODHIQ,LONGVI1RHODK_1,A,2,100,2,44
SCEG,6BATESBR,SCEG,6BATESBR,3BATES2BATEI99,D,2,115,3,69
GRE,COAL_CR,GRE,DICKUPA,GR_COA_DIC_DCL,1,4213,230,3206,345
WR,CONCO_WR,SECI,CONCOR3,CONCO_2,A,2,35,3,34.5
MHEB,STAFFD,MHEB,CAMS,W16_MH,1,37,65.1,6,63.5
MHEB,STAFFD,MHEB,YRKS,W15,1,38,65.1,5,63.5
MHEB,STAFFD,MHEB,LINS,W14_MH,1,36,65.1,6,63.5
MHEB,STAFFD,MHEB,JESS,W12_1,1,41,65.1,10,63.5
MHEB,STAFFD,MHEB,JESS,W11_1,1,40,65.1,1,63.5
AMMO,VIAD,AMMO,CCLK,VIAD_79,A,39,34.5,1,34
AMIL,VENICE_C,AMIL,GCLDAREA,IP-3391,A,TIE2,34.5,3,34
AMIL,VENICE_C,AMIL,GCLDAREA,IP-3392,A,TIE3,34.5,4,34
ONT,STLAWRE1,NYISO,MOSESNY,L33P_FDXST,1,1132,220,49,230
ONT,STLAWRE1,NYISO,MOSESNY,L34P_FDXST,1,4324,220,55,230

